1,34,975785341,4.29,-6.87,-5.52,0.39,-0.36,-0.8,0.26,225,259,109,207,1,34,59,108,231,390,2,22
1,34,975795342,4.34,-6.94,-5.39,0.4,-0.36,-0.8,0.27,229,260,116,212,1,38,62,114,231,391,2,22
1,34,975820079,4.45,-7.15,-5.02,0.41,-0.36,-0.79,0.27,229,258,125,210,1,35,65,100,231,391,2,23
1,34,975824129,4.45,-7.15,-5.02,0.41,-0.36,-0.79,0.27,228,262,123,212,1,39,65,103,231,391,2,21
1,34,975835352,4.47,-7.21,-4.9,0.42,-0.36,-0.78,0.28,232,263,123,210,1,40,63,90,231,391,2,19
1,34,975845342,4.5,-7.27,-4.79,0.43,-0.36,-0.78,0.28,229,261,125,212,1,37,60,67,232,391,2,21
1,34,975855532,4.52,-7.32,-4.68,0.43,-0.36,-0.78,0.28,228,263,130,212,1,36,67,89,231,391,2,19
1,34,975864111,4.55,-7.37,-4.58,0.43,-0.36,-0.78,0.28,232,262,133,214,1,41,68,91,231,391,2,21
1,34,975874111,4.58,-7.41,-4.48,0.44,-0.36,-0.77,0.28,228,264,133,210,1,38,68,89,231,391,2,22
1,34,975885353,4.61,-7.45,-4.39,0.44,-0.36,-0.77,0.29,232,254,132,215,1,38,63,88,232,390,2,20
1,34,975895356,4.65,-7.47,-4.31,0.45,-0.36,-0.77,0.29,232,254,132,226,1,39,63,81,232,389,2,21
1,34,975920050,4.75,-7.54,-4.07,0.46,-0.36,-0.76,0.29,232,243,143,223,1,40,62,84,232,390,2,16
1,34,975924124,4.75,-7.54,-4.07,0.46,-0.36,-0.76,0.29,231,240,150,223,1,41,63,72,232,391,2,19
1,34,975935342,4.78,-7.56,-4,0.46,-0.36,-0.76,0.29,230,244,158,216,1,37,61,77,231,391,2,21
1,34,975945338,4.81,-7.58,-3.93,0.47,-0.36,-0.75,0.29,229,238,157,229,1,40,63,35,232,391,2,20
1,34,975955530,4.84,-7.59,-3.87,0.47,-0.36,-0.75,0.29,226,240,163,226,1,41,66,31,231,391,2,20
1,34,975964122,4.88,-7.6,-3.81,0.47,-0.36,-0.75,0.29,222,239,165,213,1,42,66,30,232,391,2,21
1,34,975974107,4.92,-7.6,-3.75,0.47,-0.35,-0.75,0.29,226,243,165,223,1,40,61,35,232,392,2,21
1,34,975985356,4.96,-7.61,-3.67,0.48,-0.35,-0.75,0.3,226,236,162,228,1,51,61,61,231,393,2,21
1,34,975995352,5.01,-7.62,-3.59,0.48,-0.35,-0.75,0.3,225,236,160,226,1,54,60,64,232,393,2,20
1,34,976019806,5.14,-7.65,-3.33,0.49,-0.34,-0.74,0.3,213,215,173,226,3,59,60,62,232,393,2,21
1,34,976024111,5.14,-7.65,-3.33,0.49,-0.34,-0.74,0.3,214,217,174,221,1,55,61,12,233,394,2,21
1,34,976035342,5.2,-7.65,-3.24,0.5,-0.33,-0.74,0.3,205,210,184,218,1,55,60,16,232,393,2,19
1,34,976045372,5.26,-7.65,-3.14,0.5,-0.33,-0.74,0.3,195,213,178,228,1,60,61,8,232,394,2,24
1,34,976055559,5.33,-7.64,-3.03,0.51,-0.32,-0.74,0.31,196,208,178,231,1,57,57,4,233,391,2,24
1,34,976064111,5.41,-7.63,-2.92,0.51,-0.32,-0.74,0.31,192,208,185,231,3,61,63,2,233,392,2,25
1,34,976074111,5.49,-7.62,-2.79,0.51,-0.32,-0.74,0.31,196,207,189,228,1,55,63,1,232,394,2,25
1,34,976085352,5.57,-7.61,-2.65,0.53,-0.31,-0.73,0.31,194,210,179,229,4,59,58,2,233,392,2,21
1,34,976095352,5.67,-7.59,-2.51,0.53,-0.3,-0.73,0.31,195,206,188,227,1,64,64,2,233,392,2,22
1,34,976119779,6.02,-7.46,-2.04,0.55,-0.28,-0.72,0.31,192,210,191,230,1,66,57,2,233,392,2,15
1,34,976124111,6.02,-7.46,-2.04,0.55,-0.28,-0.72,0.31,190,208,187,229,1,61,58,2,233,391,1,14
1,34,976135371,6.13,-7.41,-1.87,0.56,-0.27,-0.72,0.31,195,213,190,230,3,69,56,2,233,393,2,16
