1,1,259083973,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,141,65,120,253,2,83,19,40,274,419,1,90
1,1,259110787,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,140,61,118,251,2,81,18,39,273,419,1,88
1,1,259116208,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,137,57,125,250,4,81,18,41,271,419,1,89
1,1,259126271,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,141,54,122,252,3,84,19,43,271,415,1,86
1,1,259133978,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,141,67,119,253,1,80,18,42,267,416,1,94
1,1,259146250,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,141,58,126,253,2,89,18,44,272,418,1,94
1,1,259155947,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,138,53,126,252,3,86,18,42,275,415,1,95
1,1,259165838,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,141,53,126,253,3,81,17,43,271,418,1,87
1,1,259176331,6.83,4.59,5.32,0.14,-0.35,-0.33,-0.87,138,52,118,251,3,83,16,44,271,416,1,90
1,1,259183975,6.83,4.59,5.32,0.14,-0.35,-0.33,-0.87,141,63,121,252,1,80,15,39,271,415,1,90
1,1,259209018,6.83,4.59,5.32,0.14,-0.35,-0.33,-0.87,141,62,121,247,1,83,11,43,273,419,1,88
1,1,259216103,6.82,4.59,5.32,0.14,-0.35,-0.33,-0.87,139,57,120,246,1,83,10,33,272,419,1,85
1,1,259225607,6.82,4.6,5.32,0.14,-0.35,-0.33,-0.87,141,58,124,239,2,87,11,25,272,417,1,86
1,1,259233965,6.82,4.6,5.32,0.14,-0.35,-0.33,-0.87,139,64,119,241,1,84,9,28,273,418,1,84
1,1,259243965,6.82,4.6,5.32,0.14,-0.35,-0.33,-0.87,139,65,119,246,2,82,8,18,273,415,1,82
1,1,259256112,6.82,4.61,5.32,0.14,-0.35,-0.33,-0.87,144,54,122,241,2,81,3,23,272,414,1,88
1,1,259266277,6.81,4.61,5.33,0.14,-0.35,-0.33,-0.87,152,58,122,242,2,86,2,20,270,416,1,98
1,1,259276226,6.79,4.63,5.33,0.14,-0.35,-0.33,-0.87,153,54,119,240,3,84,2,16,269,416,1,96
1,1,259283965,6.78,4.65,5.33,0.14,-0.35,-0.33,-0.87,155,66,126,238,1,86,2,2,270,416,1,96
1,1,259309098,6.74,4.69,5.34,0.13,-0.35,-0.33,-0.87,153,69,114,231,3,83,2,3,265,417,1,107
1,1,259316266,6.73,4.73,5.33,0.13,-0.35,-0.33,-0.87,160,55,116,233,2,92,1,1,265,416,1,107
1,1,259326232,6.7,4.78,5.32,0.13,-0.34,-0.33,-0.87,159,55,126,236,2,86,1,3,266,416,1,107
1,1,259333966,6.68,4.82,5.3,0.13,-0.34,-0.33,-0.87,160,67,124,236,2,97,2,2,263,414,1,108
1,1,259343971,6.66,4.88,5.28,0.12,-0.34,-0.34,-0.87,162,64,118,235,1,97,2,3,264,416,1,107
1,1,259355784,6.62,4.95,5.25,0.12,-0.34,-0.34,-0.87,161,58,119,236,2,90,3,2,264,416,1,110
1,1,259366267,6.58,5.03,5.23,0.11,-0.34,-0.34,-0.87,163,55,124,234,3,98,2,2,263,416,0,111
1,1,259376265,6.54,5.11,5.21,0.11,-0.34,-0.34,-0.87,153,62,128,235,3,89,2,8,263,415,1,123
1,1,259383969,6.48,5.21,5.19,0.1,-0.34,-0.35,-0.87,163,68,123,234,1,90,3,2,267,417,1,121
1,1,259409101,6.36,5.41,5.13,0.08,-0.34,-0.36,-0.87,163,64,121,238,4,96,2,4,274,410,0,128
1,1,259416254,6.29,5.52,5.09,0.08,-0.34,-0.36,-0.87,158,61,125,238,2,101,2,2,274,410,1,127
1,1,259426282,6.22,5.64,5.05,0.08,-0.33,-0.36,-0.87,161,54,119,234,1,95,2,10,273,410,1,122
1,1,259433961,6.15,5.76,5,0.07,-0.33,-0.37,-0.87,162,63,118,238,1,98,2,12,274,412,1,130
1,1,259443965,6.06,5.88,4.97,0.06,-0.33,-0.37,-0.87,161,70,125,236,1,101,2,19,272,411,1,128
1,1,259455940,5.97,6,4.94,0.05,-0.33,-0.37,-0.87,163,59,120,237,4,98,1,16,267,411,1,131
1,1,259466267,5.88,6.11,4.91,0.04,-0.33,-0.38,-0.87,163,55,125,238,3,98,2,11,266,409,1,130
1,1,259476238,5.78,6.21,4.9,0.03,-0.33,-0.38,-0.87,156,55,122,239,2,100,2,9,265,412,0,129
1,1,259483971,5.67,6.32,4.89,0.02,-0.32,-0.38,-0.87,161,62,122,241,1,96,1,7,267,412,1,135
1,1,259509285,5.42,6.53,4.9,-0.01,-0.31,-0.39,-0.87,158,70,121,239,2,99,2,8,265,412,1,130
1,1,259516270,5.27,6.62,4.94,-0.01,-0.31,-0.39,-0.87,162,55,124,239,3,100,2,7,267,412,1,128
1,1,259526261,5.09,6.74,4.96,-0.02,-0.31,-0.39,-0.87,163,60,122,242,3,102,2,6,267,410,1,129
1,1,259533965,4.9,6.87,4.98,-0.03,-0.3,-0.39,-0.87,161,68,121,238,1,95,1,6,266,412,1,131
1,1,259543963,4.68,7.01,5,-0.04,-0.3,-0.4,-0.87,161,69,120,235,1,99,1,7,266,412,1,125
1,1,259556001,4.45,7.14,5.01,-0.06,-0.29,-0.4,-0.87,158,55,123,240,4,101,2,12,268,412,1,131
1,1,259566238,4.21,7.28,5.02,-0.07,-0.28,-0.41,-0.87,159,53,116,241,3,94,3,12,267,412,1,140
