8400,311828022,65,60,23,77,225,158,53,119,202,352,1,38,-3.84,5.46,6.68
8401,311829038,66,59,24,75,225,159,53,118,202,351,1,41,-3.84,5.46,6.68
8402,311830028,63,61,24,77,225,157,52,116,201,351,2,38,-3.84,5.46,6.68
8403,311831028,65,61,25,78,225,153,51,114,202,351,2,41,-3.84,5.46,6.68
8404,311832028,64,61,25,78,225,153,53,114,202,352,2,38,-3.84,5.46,6.68
8405,311833028,66,61,25,79,225,158,51,117,202,352,1,39,-3.84,5.46,6.68
8406,311834038,62,63,26,75,225,159,51,116,202,352,1,40,-3.84,5.46,6.68
8407,311835028,65,59,26,77,224,154,53,118,202,352,1,40,-3.84,5.46,6.68
8408,311836043,64,64,26,77,225,159,53,119,202,352,1,38,-3.67,5.88,6.22
8409,311837028,65,62,26,75,225,159,52,118,202,352,2,39,-3.67,5.88,6.22
8410,311838027,66,62,26,77,225,154,53,119,202,352,1,39,-3.67,5.88,6.22
8411,311839044,65,64,26,75,225,155,55,120,203,351,1,37,-3.67,5.88,6.22
8412,311840024,64,64,26,76,225,154,52,119,201,351,1,40,-3.67,5.88,6.22
8413,311841023,63,62,26,78,225,157,52,122,203,353,1,41,-3.67,5.88,6.22
8414,311842022,65,65,27,78,225,155,56,121,203,352,1,40,-3.67,5.88,6.22
8415,311843022,65,64,27,78,225,156,53,124,203,352,1,39,-3.67,5.88,6.22
8416,311844038,64,66,27,77,225,161,53,121,203,351,2,37,-3.67,5.88,6.22
8417,311845022,65,65,28,78,225,152,53,119,203,352,1,38,-3.67,5.88,6.22
8418,311846054,66,66,27,77,225,161,53,123,203,352,2,41,-3.58,5.79,5.98
8419,311847022,64,65,27,75,225,157,52,120,202,352,1,40,-3.58,5.79,5.98
8420,311848038,64,61,27,76,225,157,54,119,204,352,2,39,-3.58,5.79,5.98
8421,311849021,63,67,27,76,224,163,53,121,204,352,1,41,-3.58,5.79,5.98
8422,311850038,64,66,27,77,224,157,57,125,205,352,1,41,-3.58,5.79,5.98
8423,311851022,65,67,27,75,225,163,55,123,204,351,2,39,-3.58,5.79,5.98
8424,311852022,64,65,28,76,225,160,57,120,202,351,1,38,-3.58,5.79,5.98
8425,311853038,67,68,28,76,225,162,55,124,204,352,1,39,-3.58,5.79,5.98
8426,311855547,63,66,29,75,224,163,54,123,205,351,1,39,-3.58,5.79,5.98
8427,311856036,66,67,29,76,225,162,54,124,205,351,1,39,-2.79,5.96,6.55
